month,region,depth_strata,family,mean_biom,total_biom
April,Detroit,Deep,Bosminidae,0.31992804,0.63985608
April,Detroit,Deep,Centropagidae,0.077178787,0.154357574
April,Detroit,Deep,Cyclopoidae,0.11859704,0.355791121
April,Detroit,Deep,Daphnidae,0.179260709,0.537782126
April,Detroit,Deep,Diaptomidae,0.691639956,4.149839739
April,Detroit,Deep,Unidentified Calanoids,0.200790451,0.401580903
April,Detroit,Deep,Unidentified Cyclopoids,0.135134316,0.270268632
April,Detroit,Middle,Bosminidae,0.006461714,0.012923428
April,Detroit,Middle,Centropagidae,0.140952952,0.281905905
April,Detroit,Middle,Cyclopoidae,0.044431207,0.133293621
April,Detroit,Middle,Daphnidae,0.006271212,0.025084847
April,Detroit,Middle,Diaptomidae,0.486929284,2.921575704
April,Detroit,Middle,Macrothricidae,0.000505748,0.000505748
April,Detroit,Middle,Unidentified Calanoids,0.085324727,0.170649453
April,Detroit,Middle,Unidentified Cyclopoids,0.081037433,0.162074867
April,Detroit,Shallow,Bosminidae,0.003895973,0.003895973
April,Detroit,Shallow,Centropagidae,0.247404878,0.494809756
April,Detroit,Shallow,Cyclopoidae,0.056767457,0.227069827
April,Detroit,Shallow,Diaptomidae,0.392443055,2.354658329
April,Detroit,Shallow,Macrothricidae,0.000627485,0.00125497
April,Detroit,Shallow,Unidentified Calanoids,0.051357726,0.102715452
April,Detroit,Shallow,Unidentified Cyclopoids,0.065515242,0.131030484
April,Fairport,Deep,Bosminidae,0.289006349,1.156025398
April,Fairport,Deep,Cyclopoidae,9.776993228,39.10797291
April,Fairport,Deep,Daphnidae,0.44415965,0.888319301
April,Fairport,Deep,Diaptomidae,14.15341065,28.3068213
April,Fairport,Deep,Temoridae,0.286978904,0.573957809
April,Fairport,Deep,Unidentified Cyclopoids,2.774785292,5.549570585
April,Fairport,Middle,Bosminidae,0.900334825,2.701004475
April,Fairport,Middle,Cyclopoidae,22.76687251,91.06749004
April,Fairport,Middle,Daphnidae,1.081714527,3.24514358
April,Fairport,Middle,Diaptomidae,18.34170313,73.36681254
April,Fairport,Middle,Macrothricidae,0.028286584,0.028286584
April,Fairport,Middle,Unidentified Cyclopoids,7.452213316,14.90442663
April,Fairport,Shallow,Bosminidae,0.411261837,1.645047349
April,Fairport,Shallow,Centropagidae,0.177181475,0.354362951
April,Fairport,Shallow,Cyclopoidae,0.582199282,3.493195692
April,Fairport,Shallow,Daphnidae,0.051897291,0.207589164
April,Fairport,Shallow,Diaptomidae,1.845787288,14.76629831
April,Fairport,Shallow,Unidentified Calanoids,0.833262619,1.666525237
April,Fairport,Shallow,Unidentified Cyclopoids,1.856825348,3.713650696
April,Lorain,Deep,Bosminidae,0.110925117,0.443700466
April,Lorain,Deep,Cyclopoidae,3.43477108,17.1738554
April,Lorain,Deep,Daphnidae,0.139059307,0.556237228
April,Lorain,Deep,Diaptomidae,1.327213055,5.308852219
April,Lorain,Deep,Unidentified Cyclopoids,2.492993025,4.985986049
April,Lorain,Middle,Bosminidae,0.207886617,0.831546469
April,Lorain,Middle,Chydoridae,0.38945626,0.38945626
April,Lorain,Middle,Cyclopoidae,8.305714711,33.22285885
April,Lorain,Middle,Daphnidae,0.195793524,0.391587049
April,Lorain,Middle,Diaptomidae,4.044957407,20.22478703
April,Lorain,Middle,Unidentified Cyclopoids,2.679221071,5.358442143
April,Lorain,Shallow,Bosminidae,0.172712697,0.51813809
April,Lorain,Shallow,Cyclopoidae,3.01784178,15.0892089
April,Lorain,Shallow,Daphnidae,0.226698911,0.680096732
April,Lorain,Shallow,Diaptomidae,2.400705773,9.602823092
April,Lorain,Shallow,Unidentified Calanoids,0.044262477,0.044262477
April,Lorain,Shallow,Unidentified Cyclopoids,1.99373497,1.99373497
April,Maumee,Deep,Bosminidae,0.118893716,0.237787432
April,Maumee,Deep,Centropagidae,0.048876309,0.097752618
April,Maumee,Deep,Chydoridae,0.000307421,0.000307421
April,Maumee,Deep,Cyclopoidae,0.08736118,0.349444722
April,Maumee,Deep,Daphnidae,0.031976666,0.127906666
April,Maumee,Deep,Diaptomidae,0.122631984,0.735791907
April,Maumee,Deep,Unidentified Calanoids,0.017377923,0.034755846
April,Maumee,Deep,Unidentified Cyclopoids,0.036645779,0.073291559
April,Maumee,Middle,Bosminidae,0.440741679,0.881483358
April,Maumee,Middle,Centropagidae,0.474756973,0.949513946
April,Maumee,Middle,Chydoridae,0.000481801,0.000481801
April,Maumee,Middle,Cyclopoidae,0.219181749,0.657545246
April,Maumee,Middle,Daphnidae,0.18527052,0.370541039
April,Maumee,Middle,Diaptomidae,1.174834353,7.049006119
April,Maumee,Middle,Unidentified Calanoids,0.078729761,0.157459521
April,Maumee,Middle,Unidentified Cyclopoids,0.096080766,0.192161531
April,Maumee,Shallow,Bosminidae,0.260011369,0.780034108
April,Maumee,Shallow,Centropagidae,0.039743619,0.039743619
April,Maumee,Shallow,Chydoridae,0.001617667,0.003235334
April,Maumee,Shallow,Cyclopoidae,0.030648436,0.306484356
April,Maumee,Shallow,Daphnidae,0.044672661,0.134017984
April,Maumee,Shallow,Diaptomidae,0.091035671,0.637249694
April,Maumee,Shallow,Macrothricidae,0.0042156,0.008431201
April,Maumee,Shallow,Unidentified Calanoids,0.009017062,0.018034124
April,Maumee,Shallow,Unidentified Cyclopoids,0.153119458,0.306238916
August,Detroit,Deep,Bosminidae,0.509780994,2.039123977
August,Detroit,Deep,Cyclopoidae,0.095953063,0.191906126
August,Detroit,Deep,Daphnidae,0.764817558,3.05927023
August,Detroit,Deep,Diaptomidae,0.124615701,0.373847104
August,Detroit,Deep,Leptodoridae,0.169537361,0.339074722
August,Detroit,Deep,Sididae,0.443258762,0.886517524
August,Detroit,Deep,Temoridae,0.147723789,0.590895155
August,Detroit,Deep,Unidentified Calanoids,0.427131959,0.854263919
August,Detroit,Deep,Unidentified Cyclopoids,0.567087919,1.134175838
August,Detroit,Middle,Bosminidae,0.755678352,2.267035056
August,Detroit,Middle,Chydoridae,0.002046423,0.002046423
August,Detroit,Middle,Daphnidae,0.054841165,0.21936466
August,Detroit,Middle,Diaptomidae,0.178784606,0.536353817
August,Detroit,Middle,Leptodoridae,0.046017706,0.092035411
August,Detroit,Middle,Sididae,0.143087971,0.286175943
August,Detroit,Middle,Unidentified Calanoids,0.358793528,0.717587057
August,Detroit,Middle,Unidentified Cyclopoids,0.157015566,0.314031131
August,Detroit,Shallow,Bosminidae,0.168847813,0.337695626
August,Detroit,Shallow,Chydoridae,0.002037139,0.002037139
August,Detroit,Shallow,Daphnidae,0.014211408,0.014211408
August,Detroit,Shallow,Diaptomidae,0.085197365,0.085197365
August,Detroit,Shallow,Leptodoridae,0.00479912,0.00479912
August,Detroit,Shallow,Sididae,0.028649851,0.028649851
August,Detroit,Shallow,Temoridae,0.028219017,0.056438034
August,Detroit,Shallow,Unidentified Calanoids,0.171924966,0.343849933
August,Detroit,Shallow,Unidentified Cyclopoids,0.042269599,0.084539199
August,Dunkirk,Deep,Bosminidae,0.225320636,0.225320636
August,Dunkirk,Deep,Cercopagididae,0.395893827,0.791787654
August,Dunkirk,Deep,Cyclopoidae,1.194239711,1.194239711
August,Dunkirk,Deep,Daphnidae,0.411634176,0.411634176
August,Dunkirk,Deep,Leptodoridae,0.147489558,0.147489558
August,Dunkirk,Deep,Unidentified Calanoids,3.901950226,3.901950226
August,Dunkirk,Deep,Unidentified Cyclopoids,0.602695262,0.602695262
August,Dunkirk,Middle,Bosminidae,0.092876151,0.092876151
August,Dunkirk,Middle,Cercopagididae,0.218191495,0.436382991
August,Dunkirk,Middle,Cyclopoidae,0.262037112,0.262037112
August,Dunkirk,Middle,Diaptomidae,2.303993525,2.303993525
August,Dunkirk,Middle,Leptodoridae,0.151860233,0.151860233
August,Dunkirk,Middle,Unidentified Calanoids,5.458514194,5.458514194
August,Dunkirk,Middle,Unidentified Cyclopoids,1.041215543,1.041215543
August,Dunkirk,Shallow,Bosminidae,0.062768418,0.062768418
August,Dunkirk,Shallow,Cercopagididae,0.008138894,0.008138894
August,Dunkirk,Shallow,Diaptomidae,1.106965805,1.106965805
August,Dunkirk,Shallow,Leptodoridae,0.067529086,0.067529086
August,Dunkirk,Shallow,Unidentified Calanoids,1.764251846,1.764251846
August,Dunkirk,Shallow,Unidentified Cyclopoids,0.246904904,0.246904904
August,Erie,Deep,Bosminidae,0.9195194,1.8390388
August,Erie,Deep,Centropagidae,0.746458257,1.492916514
August,Erie,Deep,Cercopagididae,0.171977727,0.687910906
August,Erie,Deep,Cyclopoidae,0.200689553,0.80275821
August,Erie,Deep,Daphnidae,3.645112992,7.290225983
August,Erie,Deep,Diaptomidae,1.822058747,7.288234989
August,Erie,Deep,Unidentified Calanoids,5.492808875,10.98561775
August,Erie,Deep,Unidentified Cyclopoids,2.980584886,5.961169772
August,Erie,Middle,Cercopagididae,0.264428219,1.057712878
August,Erie,Middle,Cyclopoidae,0.048585315,0.048585315
August,Erie,Middle,Daphnidae,2.038064966,4.076129931
August,Erie,Middle,Diaptomidae,0.463992108,1.855968432
August,Erie,Middle,Leptodoridae,0.009018611,0.009018611
August,Erie,Middle,Unidentified Calanoids,2.943784635,5.887569269
August,Erie,Middle,Unidentified Cyclopoids,0.286820054,0.573640108
August,Erie,Shallow,Bosminidae,0.020444717,0.020444717
August,Erie,Shallow,Cercopagididae,0.062093487,0.186280462
August,Erie,Shallow,Daphnidae,1.83631316,3.672626319
August,Erie,Shallow,Diaptomidae,2.216898857,4.433797714
August,Erie,Shallow,Unidentified Calanoids,6.155001236,12.31000247
August,Erie,Shallow,Unidentified Cyclopoids,0.286831136,0.573662272
August,Fairport,Deep,Bosminidae,2.22342049,2.22342049
August,Fairport,Deep,Cercopagididae,0.75787851,3.031514041
August,Fairport,Deep,Cyclopoidae,0.570480416,1.711441247
August,Fairport,Deep,Daphnidae,23.14030101,23.14030101
August,Fairport,Deep,Diaptomidae,10.28052432,20.56104863
August,Fairport,Deep,Unidentified Calanoids,3.996528455,7.99305691
August,Fairport,Deep,Unidentified Cyclopoids,2.204047624,4.408095248
August,Fairport,Middle,Bosminidae,0.599191047,1.198382094
August,Fairport,Middle,Cercopagididae,0.761206132,3.044824529
August,Fairport,Middle,Cyclopoidae,0.903947936,1.807895872
August,Fairport,Middle,Daphnidae,12.67863607,25.35727214
August,Fairport,Middle,Diaptomidae,14.29799653,57.19198612
August,Fairport,Middle,Unidentified Calanoids,1.379177818,2.758355637
August,Fairport,Shallow,Bosminidae,1.386934463,2.773868926
August,Fairport,Shallow,Cercopagididae,0.010080707,0.010080707
August,Fairport,Shallow,Cyclopoidae,0.084356893,0.084356893
August,Fairport,Shallow,Daphnidae,4.579811807,9.159623614
August,Fairport,Shallow,Diaptomidae,9.699701402,29.0991042
August,Fairport,Shallow,Leptodoridae,0.323384763,0.646769526
August,Fairport,Shallow,Sididae,0.208152679,0.416305358
August,Fairport,Shallow,Unidentified Calanoids,12.19487648,24.38975296
August,Fairport,Shallow,Unidentified Cyclopoids,7.920674842,15.84134968
August,Lorain,Deep,Bosminidae,0.716694497,1.433388995
August,Lorain,Deep,Cercopagididae,0.271441107,1.085764428
August,Lorain,Deep,Cyclopoidae,0.857833985,3.431335941
August,Lorain,Deep,Daphnidae,12.10574277,24.21148555
August,Lorain,Deep,Diaptomidae,1.870380449,11.22228269
August,Lorain,Deep,Leptodoridae,0.005397498,0.005397498
August,Lorain,Deep,Unidentified Calanoids,5.185972651,10.3719453
August,Lorain,Deep,Unidentified Cyclopoids,3.185526837,6.371053673
August,Lorain,Middle,Bosminidae,5.973745916,17.92123775
August,Lorain,Middle,Cercopagididae,1.032220963,4.128883851
August,Lorain,Middle,Cyclopoidae,0.448845092,1.346535275
August,Lorain,Middle,Daphnidae,21.95723595,43.9144719
August,Lorain,Middle,Diaptomidae,8.651692026,25.95507608
August,Lorain,Middle,Unidentified Calanoids,9.612135935,19.22427187
August,Lorain,Middle,Unidentified Cyclopoids,5.618807512,11.23761502
August,Lorain,Shallow,Bosminidae,0.191491293,0.382982586
August,Lorain,Shallow,Cercopagididae,0.332611443,1.330445773
August,Lorain,Shallow,Cyclopoidae,0.726699969,0.726699969
August,Lorain,Shallow,Daphnidae,7.25402289,14.50804578
August,Lorain,Shallow,Diaptomidae,3.28482577,6.56965154
August,Lorain,Shallow,Leptodoridae,0.003672932,0.003672932
August,Lorain,Shallow,Unidentified Calanoids,6.461205899,12.9224118
August,Lorain,Shallow,Unidentified Cyclopoids,1.575001444,3.150002889
August,Maumee,Deep,Bosminidae,2.100450503,8.401802013
August,Maumee,Deep,Cyclopoidae,0.082510764,0.165021527
August,Maumee,Deep,Daphnidae,0.752366636,3.009466542
August,Maumee,Deep,Diaptomidae,0.533260957,1.599782872
August,Maumee,Deep,Leptodoridae,0.042929961,0.085859922
August,Maumee,Deep,Sididae,0.354370615,0.708741231
August,Maumee,Deep,Temoridae,0.51319191,2.052767642
August,Maumee,Deep,Unidentified Calanoids,2.050940692,4.101881384
August,Maumee,Deep,Unidentified Cyclopoids,0.649089723,1.298179446
August,Maumee,Middle,Bosminidae,83.88760419,167.7752084
August,Maumee,Middle,Cyclopoidae,1.225147866,2.450295732
August,Maumee,Middle,Daphnidae,8.784489572,17.56897914
August,Maumee,Middle,Diaptomidae,0.654104685,0.654104685
August,Maumee,Middle,Leptodoridae,1.663997796,3.327995592
August,Maumee,Middle,Sididae,14.91871933,29.83743865
August,Maumee,Middle,Unidentified Calanoids,27.14839524,27.14839524
August,Maumee,Middle,Unidentified Cyclopoids,5.467951669,10.93590334
August,Maumee,Shallow,Bosminidae,219.0923426,438.1846852
August,Maumee,Shallow,Cercopagididae,0.06282159,0.06282159
August,Maumee,Shallow,Cyclopoidae,11.81777299,23.63554599
August,Maumee,Shallow,Daphnidae,9.623158626,19.24631725
August,Maumee,Shallow,Diaptomidae,10.19864386,20.39728772
August,Maumee,Shallow,Leptodoridae,1.805639126,3.611278252
August,Maumee,Shallow,Sididae,22.58846974,45.17693949
August,Maumee,Shallow,Unidentified Calanoids,4.818488269,9.636976538
August,Maumee,Shallow,Unidentified Cyclopoids,7.172309103,14.34461821
July,Detroit,Deep,Bosminidae,0.186703493,0.373406985
July,Detroit,Deep,Cyclopoidae,0.042744381,0.299210666
July,Detroit,Deep,Daphnidae,0.465950186,0.931900372
July,Detroit,Deep,Diaptomidae,0.123206229,0.492824915
July,Detroit,Deep,Leptodoridae,0.787103551,1.574207103
July,Detroit,Deep,Sididae,0.068162116,0.136324232
July,Detroit,Deep,Temoridae,0.384393237,1.537572947
July,Detroit,Deep,Unidentified Calanoids,1.450910668,2.901821336
July,Detroit,Deep,Unidentified Cyclopoids,0.316431708,0.632863416
July,Detroit,Middle,Bosminidae,0.247009799,0.741029398
July,Detroit,Middle,Chydoridae,0.00357324,0.010719721
July,Detroit,Middle,Cyclopoidae,0.032006329,0.064012657
July,Detroit,Middle,Daphnidae,0.006125493,0.018376478
July,Detroit,Middle,Diaptomidae,0.069633958,0.278535832
July,Detroit,Middle,Leptodoridae,0.036302445,0.036302445
July,Detroit,Middle,Temoridae,0.051130546,0.204522184
July,Detroit,Middle,Unidentified Calanoids,0.613717778,1.227435557
July,Detroit,Middle,Unidentified Cyclopoids,0.089096649,0.178193297
July,Detroit,Middle,NA,0.001031397,0.001031397
July,Detroit,Shallow,Bosminidae,0.920305605,1.840611211
July,Detroit,Shallow,Cyclopoidae,0.025297884,0.126489422
July,Detroit,Shallow,Diaptomidae,0.086837149,0.521022893
July,Detroit,Shallow,Sididae,0.065566964,0.131133929
July,Detroit,Shallow,Temoridae,0.049590579,0.198362316
July,Detroit,Shallow,Unidentified Calanoids,1.214004133,2.428008266
July,Detroit,Shallow,Unidentified Cyclopoids,0.11623504,0.23247008
July,Dunkirk,Deep,Bosminidae,0.260895865,0.260895865
July,Dunkirk,Deep,Cercopagididae,0.295233932,0.590467864
July,Dunkirk,Deep,Cyclopoidae,0.009046096,0.009046096
July,Dunkirk,Deep,Daphnidae,5.76304979,5.76304979
July,Dunkirk,Deep,Diaptomidae,0.702993437,1.405986874
July,Dunkirk,Deep,Unidentified Calanoids,1.112205935,1.112205935
July,Dunkirk,Deep,Unidentified Cyclopoids,0.0212668,0.0212668
July,Dunkirk,Middle,Bosminidae,0.098698117,0.098698117
July,Dunkirk,Middle,Cercopagididae,0.460659718,0.921319435
July,Dunkirk,Middle,Cyclopoidae,0.009574076,0.009574076
July,Dunkirk,Middle,Daphnidae,2.61538683,2.61538683
July,Dunkirk,Middle,Diaptomidae,0.569176648,1.138353296
July,Dunkirk,Middle,Leptodoridae,0.001723434,0.001723434
July,Dunkirk,Middle,Unidentified Calanoids,1.124027642,1.124027642
July,Dunkirk,Middle,Unidentified Cyclopoids,0.038846546,0.038846546
July,Dunkirk,Shallow,Bosminidae,0.187667315,0.187667315
July,Dunkirk,Shallow,Cercopagididae,0.109212681,0.218425362
July,Dunkirk,Shallow,Cyclopoidae,0.117284891,0.117284891
July,Dunkirk,Shallow,Daphnidae,1.745347823,3.490695646
July,Dunkirk,Shallow,Diaptomidae,1.854910615,1.854910615
July,Dunkirk,Shallow,Leptodoridae,0.043115004,0.043115004
July,Dunkirk,Shallow,Unidentified Calanoids,0.7816034,0.7816034
July,Dunkirk,Shallow,Unidentified Cyclopoids,0.254695377,0.254695377
July,Erie,Deep,Bosminidae,19.5327988,39.06559761
July,Erie,Deep,Cercopagididae,0.295760807,1.183043229
July,Erie,Deep,Cyclopoidae,0.385437707,1.541750829
July,Erie,Deep,Daphnidae,1.690288604,3.380577207
July,Erie,Deep,Diaptomidae,5.523252612,16.56975784
July,Erie,Deep,Unidentified Calanoids,1.092067137,2.184134274
July,Erie,Deep,Unidentified Cyclopoids,9.922070972,19.84414194
July,Erie,Middle,Bosminidae,0.045796167,0.045796167
July,Erie,Middle,Cercopagididae,0.689921166,1.379842332
July,Erie,Middle,Daphnidae,30.7592432,30.7592432
July,Erie,Middle,Diaptomidae,1.81027687,3.620553741
July,Erie,Middle,Leptodoridae,0.008458832,0.008458832
